label,sms
spam,txt   to no     your reward of  hours   time to use from your phone now subscribegbpmnth inc hrs  stoptxtstop wwwgambtv
spam,please    immediately     is an urgent   waiting   you
ham,no messages   her phone im holding it now
ham,living is very     is also   laughing is too     is tooo   but being   is very   
ham,meet after lunch  
ham,oh   must have taken your real valentine out    
ham,s   home    
ham,  forget though that   love you        beside you watching   you     your heart warm
ham,    you   a stranger     you     friend   long   the world stands our friendship never ends lets   friends   gud nitz
spam,fancy a shag   dointerested sextextukcom txt xxuk suzy to         msg tncs   website x
ham,im   buy smth home
ham,only     after ill obey all yours
ham,nite nite pocay wocay     more than   e thing eva   promise ring   morrowxxxx
spam,    listen to extreme dirty live chat going     the office right now   privacy no   knows your sic listening     mp 
ham,japanese proverb if   can   it   too can   it if none can   itu must   it indian version if   can   it   him   it if none can   itleave it   finally   version if   can   it stop him doing it if none can   it   a strike against it 
ham,are you at   right now 
ham,lul im gettin   juicy   at the hospital two nurses are   about how fat   are gettin     thinks   obese oyea
ham,its ok   mom instead have fun
ham,just gettin a bit arty     collages at the   well tryin    way got a roast   a   lovely     enjoy that
spam,free     your  free text messages by replying to this     the   free   terms    visit wwwcom
ham,pity  was       that soany other suggestions
ham,yo carlos a few friends are already asking   about you you working at all this weekend
ham,somewhere out   beneath the pale     someone think   of     where out   where   come true goodnite amp sweet  
ham,    drive back to sd from     butt is sore
ham,spending new years     brother   his family lets plan to meet next week are you ready to   spoiled 
ham,    asking   this
ham,ok
ham,im   a meeting     later at
ham,  cant keep going through this it was never   intention to run you out but if you   to   that rather than keep the room clean so     have to say no to visitors     thats the best choice yes   wanted you to     so     feel     how   feel     have a friend   wants to drop buy     have to say no   happened this morning ive tried         what   to  
ham,  had a good time too its nice to   something a bit different     weekends   a change see ya  
ham,pass dis to all   contacts   see wat   get redim         blueu put a       face purpleu   realy hot pinku   so swt orangei thnk   lyk   greeni realy wana   out     yelowi     bck blackim jealous of   browni miss you   plz giv     color
ham,sos any amount   can get pls
ham,night has       day morning has come   a special way may you     the sunny     leaves your   at the     bay gud mrng
ham,k will     amp   are doing   art so ill       you get home
ham,alrite hunnywot   up  nite didnt   up goin down town jus da pub instead jus chillin at da       bedroomlove jen  
ham,  is no sense     foot   penis
spam,if you   your prize will   to   customer tc at wwwtcbiz    polo ltd suite    wj   please   back if busy 
spam,you  are guaranteed the latests nokia phone a   ipod mp   or a  prize txt wordcollect to no tcllc nyusa pmt msgrcvd
spam,  you want a new video    any time any network   unlimited text camcorder   or   now    del sat  
spam,great     freefone  to   your guaranteed  cash or    speak to a live operator now
ham,how    going to send it to  
ham,wat     doing
ham,no but the bluray   can
ham,  wonder if youll get this text
spam,sorry   missed your   lets     you have the time im   
ham,alright were hooked up where you guys at
ham,hi   email   has   now it is 
spam,s of girls   local        virgins  this    ready  fil   every sexual need can   fil theirs text cute to    
ham,sorry ive not gone to that   ill   so   really sorry
ham,dunno lei   neva say
spam,hack chat get backdoor entry    chat rooms at a fraction of the     neo or    to subscribe   pm dps bcm box  ldn wcnxx
ham,  you meet you monday
ham,  are you guys  
ham,      darren     pick     but   oso sian tmr    meet  
spam,you have an important customer service announcement from premier
ham,hey   it not a big deal take care
ham,haha awesome ive been to   a couple times   alls coming
spam,  important       user   is your lucky day    out   log onto httpwwwurawinnercom   is a fantastic     you
ham,hey happy birthday
ham,sday only joinedso   we    
ham,  just made   payments so   have that much sorry would you want it fedex or the other way
ham,      you get the chance plz lt
ham,   great loxahatchee xmas tree burning update you can totally see stars  
ham,would really appreciate if you     just need someone to   to
ham,    the   is nobody   town 
spam,get your   ready   summer   a free selection of summer bulbs   seeds    only   the   this saturday to stop    
ham,you will     the   of that man
ham,      hospital da    will   home   evening
ham,  drive can only   read   need to  
ham,you didnt hear it from  
ham,lol ok ill try to send   warned sprint is dead slow youll prolly get it  
ham,we live   the next     
spam,         months free     orange available   sony nokia       mobileupd    or calloptoutndx
ham,havent mus   if   can   wat of meet  lunch       him meet can already   or          da ge     confirm w   asap
spam,had your   mobile  mnths latest   nokia   all free      text   orange   text yes     no to remove from records
ham,what is the plural of the noun research
ham,sorry dude     how   forgot even after dan reminded   sorry hope you guys had fun
ham, wonders     world th you th     th     th   personality rd   nature nd   sms       lovely friendship good morning dear
ham,it has issues right now ill fix   her by  
ham,no da if you run that it   the   version da
ham,awesome     a cute answer someone asked a boy how is   life     smiled amp answered     is fine gudnite
ham,  have gone   get info bt     what to  
ham,have you   had   foot before
ham,good morning   how are you
ham,a boy was late  home his father power of frndship
ham,all will come alivebetter   any good looking figure   itself
ham,think you sent the text to the home phone that cant display texts if you still want to send it his number is
spam,private your  account statement       unredeemed s          identifier code  expires 
ham,dearregret   cudnt pick calldrove down frm ctla now at cochin homeleft mobile   carente   ishtamayoohappy bakrid
ham,  painhope     fine
ham,    come   between you  
ham,we are hoping to get away by  from langport you still up   town tonight
ham,only saturday   sunday holiday so its very  
ham,  think ive fixed it can you send a    
ham,yay you better not have told that to  other girls either
ham,a swt   nver get tired of doing little things  lovable persons cozsomtimes   little things occupy   biggest part     hearts gud ni
ham,no im not gonna     to  too late    ill   home   a few weeks anyway  what are the plans
spam,asked mobile if  chatlines inclu   free   india cust servs sed yes ler got mega      giv a   bailiff due   days       want 
ham,are you   castor you need to see something
ham,yup   shd   ard  pages if   add figures  all got how   pages
ham,we not   yet ok     we   elsewhere   eat   thk
spam,winner   a valued network customer you hvae been selected to receive a  reward to      valid  hours only aclpm
ham,just trying to figure out   im suppose to see a couple different   this week we said wed get   but   didnt set  
ham,also     sent you an email about how to log   the usc payment portal ill send you     that should explain how things are back home have a great weekend
ham,thats the trouble   classes that   well  youre due a dodgey    expecting mine tomo see you   recovery same time same   
ham,  shirt         thk   c 
ham,only if you promise your getting out       you can   youll text     the morning to       you made it   ok
ham,    fine
ham,hey     we just     x     have lunch haha 
ham,    we were doing a king of the hill thing  
ham,  was gonna   you lol but   think its at 
ham,  have had two more letters from    will copy them   you cos   has a     you speak  
ham,smith waste dai wanna gayle
ham,hi       at        pick   up or meet   text back   this number   kate  
ham,sorry ill   later   meeting
ham,ya   knw   vl givits ok   kanoanyway enjoy     family     salary
ham,          the way to calicut
ham,so   asked hows anthony dad   your bf
ham,so what did the bank say about the  
ham,dare     any luck   sorting out the car
ham,how stupid to say that   challenge godyou   think at all   what     instead you respond immed
ham, that           isnt bad miss ya need ya want ya love ya
ham,was gr to see that   so         congrats dear what school   wat     plans
ham,yo we are watching a movie   netflix
ham,still chance   if you search hard you will get itlet have a try 
ham,same wana plan a   sometme  
ham,oh   is this the   time   use these type of words
ham,  really   leh sleep so much   dad     up at  smth  eat lunch  
ham,well thats nice too bad   cant eat it
spam,  have a secret     is looking    contact     out     rreveal   thinks   so specialcall   stopsms
ham,       think should say   syllabus
ham,no need       engin cos   sis at arts  
spam,complimentary  star ibiza holiday or  cash needs your urgent collection  now from landline not to lose out boxskwpppm
ham,its hard to believe things   this all can say lie but think twice before saying anything to  
ham,    at the gas station    
ham,hurry home soup is done
ham,response is   of   powerful weapon  occupy a       heart so
spam,   you are awarded a sipix        fromm landline      days
ham,beautiful   never comes   it comes its already     the hunt of beautiful     waste your wonderful    
ham,rose       bloodblood         but       send tis to all   friends     if       if   get back         relation   need    to support     frnd      luvs      is     to     try it
ham,just got part nottingham   hrs miles good thing   love   man so much but only doing mph hey  
ham,hmmm    imagine after youve come home from that having to rub   feet     dinner   help   get ready     date  are you   your ready   that   of life 
ham,thats fine have him give   a   if   knows what   wants or has any questions
ham,yup ok thanx
ham,  give a flying monkeys wot   think     certainly     any friend of mine   all that
ham,plz note if anyone calling from a mobile co amp asks   to type     or       not   so disconnect the callcoz it iz an attempt of terrorist to   use of the sim card no itz confirmd by nokia       has been verified by cnn ibn
ham,  waiting   your mail
ham,  sis is catching e     e   so im not watching w her so c          or tmr  
spam,urgent please    from a landline  cash or a  holiday await collection   cs sae po box  mxy 
spam,congratulations   awarded either a   supply of cds from virgin records or a mystery   guaranteed      wwwsmsconet pm    
ham,wishing you   your family merry x mas   happy new year   advance
ham,im     way home went to change batt          shop a bit  
ham,  dunno     oredi not  v ma fan
ham,how long does applebees fucking take
ham,    does is moan at   if   e thin goes   its   faultal   arguments     faultfed up of him of himso   bother     thanxxx
ham,so     submitting da   tmr rite
ham,  hope you   im still mad at you
ham,eek thats a lot of time especially   american pie is    minutes long   cant stop singing it
ham,just now saw your messageit k da
ham,  the     might still vomit but its   not   will come out
ham,not from this campus are you   the library
ham,where is it is   any opening   mca
ham,im at home   ready
ham,olol   printed out a forum post by a     the   same  prob   was fixed   a gpu replacement       ignore that
ham,yes see ya not   the dot
ham,kgive back    
ham,  cake    
ham,  babe  what happened to you  how come you never   back
ham,networking technical support associate
ham,yes     want to   you happy
ham,say this   godi love you amp   need     heart   your bloodsend this to ten special   amp   c miracle     itplspls   it
ham,arun can   transfr     amt
ham,  the way to office da
ham,meeting   is       tel                
ham,aah a cuddle would   lush id need   of tea   soup before any   of fumbling
ham,yeah thats the impression   got
ham,would   smoking you out help us   through this   time
ham,  cant wait   cornwall hope tonight isnt too bad   well but its   night shite anyway im going   a kip now have a good night speak to you  
ham,also track down any lighters you can  
ham,fine   miss you very much
ham,this   is  ltdecimalgt  lakhs
ham,the battery is   mr adewale     aka egbon
ham,dear friends sorry   the late     is the birthday of our   arpraveesh   more   log   to face book   see its his number       miss a delicious treat
ham,kyou are the only   waiting   reception ah
ham, will have two more cartons       is very pleased   shelves
ham,    to him   ok its    
ham,no got new job at bar   airport   satsgettin   hour but means no lie   keep   touch
ham,never blame a day     life good days give   happiness bad days give   experience both are     life all are gods blessings good morning
ham,kkwhy cant you come     search job
ham,not yet chikkuwat    
ham,im   inside officestill   formsdon          
ham,we still     tonight
ham,auntie huai juan never pick up her phone
ham,unlimited texts limited minutes
spam,would you   to see         are so hot   were nearly banned   the uk
ham,ok   only     e movie     ktv oso
ham,all e best    exam later
ham,only just got this   not ignoring you yes   was   that is
ham,  the body takes care of it buy making   it   progress can we pls continue this     saturday
ham,  think your mentor is  but not  percent  
ham,the affidavit says     e twiggs   division g courtroom     lttimegt    ill   check   text you again  
ham,yep by the pretty sculpture
ham,yes     want to please you every night your   is   command
ham,thanx a lot
ham,arr birthday       him to get more oscar
ham,yes we are chatting too
ham,every mondaynxt week vl   completing
ham,  so slow         long ago liao    more days only    more leh
ham,oh is it send   the  
ham,    did have it    
ham,so     you wanna gym
spam,  a    spree every week   now  play text store to  skilgme   winawk age perweeksub
ham,how are you just   up   you
ham,    start from hear
ham,ok im waliking ard now          buy anything      
ham,yes   were    
ham,oh kay   sat right
ham,might ax well im  
ham,its not that you     cry its just that   all our   happens   top of     it pushes     the edge you   underdtand how     cry     sorry sorry life
ham,ha   we must   to everywhere cannot take tram   cousin said can   to vic market from our hotel 
ham,  think you should   the honesty     the bank   its the tough   that   us great  
spam,from next month get upto  more      standard network charge       c wirenet stterms pobox   uz      mobcudb more
ham,watching tv       so funny we bluff her  wat izzit because   thk its impossible between us
ham,time       the two crucial things   our life sometimes time makes us to forget     sometimes someones   makes us to forget time gud noon
ham,home so we can always chat
ham,are you plans   your family set   stone 
ham,yes da any plm at   office
ham,    family booking   package
ham,nvm its ok
ham,        thing if you   mistake  
ham,hey     can pick   up at   if   tell   wen  where  mt love   xx
ham,oh yes   can speak txt    no hmm did   get  email
ham,havent still waitin   usual  come back sch oredi
ham,sorry brah just   the last of   exams what up
ham,yeah we wouldnt     an hour at least hows  sound
ham,x course it   just so her messages   messenger lik you      
ham,would     believe it   didnt     had   pre booked   so     cancelled   again that needs to   sacked
ham,ok     get   msg
ham,  cant pick the phone right now pls send a  
ham,    you not responding
ham,is toshiba portege   gd
ham,  are   up so early
spam,life has never been this much fun   great until you     you made it truly special       wont forget you enjoy    gbpsms
ham,        youre  
ham,im at home please  
ham,    knw dis no   
ham,ok     come   pick   at engin
ham,hey loverboy   love you    had to tell    look at your picture   ache to feel you between   legs      want you    need you      you 
spam,good luck draw takes   th feb  good luck   removal send stop to  customer services 
ham,yeah if we   have to get a   dude we need to change our info sheets to       never study just to   safe
ham,kkyesterday   was   cbe 
ham,    buy
ham,not a drop   the tank
ham,buy   egg     daplease
ham,im   office now dawhere are you
ham,im   school now   ill     da lab doing     give   a        done
spam,freemsg fancy a flirt   date now  join the   fastest growing mobile dating service msgs   just   to   txt stop to    date now
ham,  ran     a younger man we will   pretty babies   
spam,had your mobile mths  update   free to oranges latest        unlimited weekend     mobile upd   freefone  or stoptxt
ham,    slide is enough
ham,  ma way to school can you pls send   ashleys number
ham,rightio  it is   well arent we all up bright   early this morning
spam,eastenders tv quiz what   does dot compare herself to     e tulip   lily txt   e or   to  now  chance     cash  
ham,sorry im stil fucked after last nite went tobed at  got up    at 
ham,ok
ham,what   wats talks email  
ham,      are   bed
ham,  says its cool if we pick   up from his       an hour
spam,            need         tell   ms txt tone charity to    nokias or poly charity   polys zed  profit  charity 
spam,  uk   accommodationvouchers terms    apply    you mustprovide your   number   is  
ham,skallis wont play     two odi
ham,will purchase         mail to you   you have a po box number
ham,  hyde park not   mel ah opps got confused anyway if tts e best choice   we   have to take it
ham,you said to   before   went back to bed that you cant sleep   anything
ham,pls send   the     da
ham,yes     to send requests to   it but     back so im back   bed   coins at the factory too     cash   all   nitros
ham,nope   ayo travelled   has forgotten his  
ham,hi im having the   relaxing time   we have to get up at   every day was the   good the other night   get home   at ish
ham,  coming back  dinner rite dad     so     confirm    
ham,  pack what you can buy at any storelike cereals if you must pack food pack gari or something ja that you will miss
ham,  didnt get     msgsometext is   send it again
ham,pleassssssseeeeee tel   v avent done sportsx
spam,hi ya babe x   goten bout   scammers getting smartthough this is a regular vodafone no if you respond you get further prem rate msgsubscription other nos   also beware
ham,yeah we can   swing by     roommate finishes up   his  
ham,just taste fish curry  
ham,dunno leh cant   mayb   so wat time   we meeting tmr
ham,you are a big chic common declare
ham,please sen     advice please come     try
ham,or ill   a little     at the   stop   the same street
ham,hiya how was last night ive been naughty   bought   clothes   very little  ready   more   tho what   of time   you wanna meet
ham,if     searching   will get job   few dayshe have great     talent
ham,just   surfing
ham,see the forwarding     proof
ham,oh ok
ham,im really sorry   lit your hair   fire
ham,not getting anywhere   this   job hunting    
ham,  said that   had a right giggle     saw   again you would possibly   the   persondie from nvq but think how much you could   
ham,  think       her da
ham,no     the renewal ill   it right away but       his  
ham,alright   have a new goal now
ham,  want to tell you how bad   feel that basically the only times   text you lately are     need drugs
ham,sif we have   good partnership going we will take lead
ham,lol   would but despite these cramps     being a  
ham,we have sent jd   customer service cum accounts executive to   mail id     contact us
ham,sorry   flaked last night shits seriously goin down     roommate what you up to tonight
ham,carlos is taking his sweet time   usual so         you   patty are donewant to smoke   ill tell him to haul ass
ham,just       you really   miss seeing jeremiah   have a great month
ham,please   this topicsorry   telling that
spam,dear voucher holder to   this weeks offer at you pc please   to httpwwwetlpcoukreward   apply
ham,what   said is not the       saying   other   is  
ham,s   meeting    
ham,    sis how
ham,sometimes heart remembrs someone very much forgets someone   bcoz heart will not   everyone but liked ones will   remembered everytime bslvyl
ham,you   your neighbors didnt pick it up
ham,yessura   sun tvlol
ham,  exam is   february    you a great day
ham,        could you   chechi
ham,ok thanx gd nite   too
ham,im now but have to wait till    the   to pick  
ham,  you   by or still down around alexs  
ham,  good no     thanx
ham,  prefer   free days tues wed fri oso can         
ham,I am taking half day leave bec i am not well
ham,"Nah man, my car is meant to be crammed full of people"
ham,"\Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\"""""
ham,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\"""""
ham,K..k:)how about your training process?
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
ham,Ok lor. Msg me b4 u call.
spam,FreeMsg>FAV XMAS TONES!Reply REAL
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! "
ham,Ok.ok ok..then..whats ur todays plan
ham,"Almost there, see u in a sec"
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
ham,Feel like trying kadeem again? :V
ham,No. But we'll do medical missions to nigeria
ham,:-) :-)
ham,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK."
ham,Sounds like you have many talents! would you like to go on a dinner date next week?
ham,Ok set let u noe e details later...
ham,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ..."
ham,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
ham,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN."
ham,K do I need a login or anything
ham,Then anything special?
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04
ham,Jay's getting really impatient and belligerent
ham,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... "
ham,"Sorry my roommates took forever, it ok if I come by now?"
spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY Ì´å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,Jos ask if u wana meet up?
ham,aathi..where are you dear..
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl
ham,"Alright omw, gotta change my order to a half8th"
ham,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please "
ham,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
ham,"Aight, lemme know what's up"
ham,Mm that time you dont like fun
ham,Jesus christ bitch I'm trying to give you drugs answer your fucking phone
ham,I was slept that time.you there?
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
ham,When should I come over?
ham,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
spam,"This is the 2nd attempt to contract U, you have won this weeks top prize of either Ì´å£1000 cash or Ì´å£200 prize. Just call 09066361921"
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a Ì´å£150 prize. To collect is easy. Just call 09061743386
ham,That's y i said it's bad dat all e gals know u... Wat u doing now?
ham,"Yeah, probably here for a while"
ham,Then u drive lor.
ham,R u still working now?
ham,I cant wait to see you! How were the photos were useful? :)
ham,"alright, I'll make sure the car is back tonight"
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call"
ham,Can ÌÎ_ call me at 10:10 to make sure dat i've woken up...
ham,Its a site to simulate the test. It just gives you very tough questions to test your readiness.
ham,I thk 50 shd be ok he said plus minus 10.. Did ÌÎ_ leave a line in between paragraphs?
spam,WINNER!! As a valued network customer you have been selected to receivea Ì´å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,Dude sux for snake. He got old and raiden got buff
ham,Pls speak to that customer machan.
ham,Its a part of checking IQ
ham,After completed degree. There is no use in joining finance.
ham,Ok i've sent u da latest version of da project.
ham,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;
ham,Remember to ask alex about his pizza
ham,No let me do the math. Your not good at it.
ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
ham,Well if I'm that desperate I'll just call armand again
ham,So why didnt you holla?
ham,"Yes, princess. Toledo."
ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.
spam,A Ì´å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a Ì´å£400 reward. Just call 09066380611
ham,Well then you have a great weekend!
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04
ham,Yo! Howz u? girls never rang after india. L
ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
spam,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
ham,Thanks for understanding. I've been trying to tell sura that.
ham,Pls i wont belive god.not only jesus.
ham,K:)k.are you in college?
ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
ham,I want to be inside you every night...
ham,This weekend is fine (an excuse not to do too much decorating)
ham,"Customer place, i wil cal u sir."
ham,I just lov this line: \Hurt me with the truth
ham,My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
ham,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?
ham,Customer place i will call you.
ham,I love to wine and dine my lady!
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
ham,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
ham,What happened in interview?
ham,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*"
ham,Bugis oso near wat... 
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
ham,Ok ill tell the company
ham,Hey now am free you can call me.
ham,Then mum's repent how?
ham,Hey gals...U all wanna meet 4 dinner at nÌÎÌâte? 
ham,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!
ham,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students
ham,Hmmm.still we dont have opener?
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
ham,How long does it take to get it.
ham,K k pa Had your lunch aha.
ham,S da..al r above  &lt;#&gt;
ham, gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. 
ham,Ok. How many should i buy.
ham,"Are you being good, baby? :)"
ham,How much is blackberry bold2 in nigeria.
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk
ham,"Just arrived, see you in a couple days &lt;3"
ham,Your bill at 3 is Ì´å£33.65 so thats not bad!
ham,Havent.
ham,"Right on brah, see you later"
ham,My uncles in Atlanta. Wish you guys a great semester.
spam,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
ham,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday"
ham,Sending you greetings of joy and happiness. Do have a gr8 evening
ham,Ok i juz receive..
ham,"Yo, any way we could pick something up tonight?"
ham,If I die I want u to have all my stuffs.
ham,But am going to college pa. What to do. are else ill come there it self. Pa.
ham,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx
ham,"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min"
ham,Aaooooright are you at work?
ham,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas..."
ham,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...
spam,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd
ham,ÌÎÌ only send me the contents page...
spam,85233 FREE>Ringtone!Reply REAL
ham,If I get there before you after your ten billion calls and texts so help me god
ham,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?"
ham,How are you. Its been ages. How's abj
ham,Ok...
ham,Im done. Just studyn in library
ham,Thanks for ve lovely wisheds. You rock
ham,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-)
ham,Oh k :)why you got job then whats up?
ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing"
ham,Good morning princess! Happy New Year!
ham,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
ham,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
ham,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*"
spam,Filthy stories and GIRLS waiting for your
spam,You can donate Ì´å£2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. Ì´å£2.50 will be added to your next bill
ham,"Sorry sir, i will call you tomorrow.  senthil.hsbc"
ham,K. I will sent it again
ham,"It's wylie, you in tampa or sarasota?"
ham,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
ham,Then we wait 4 u lor... No need 2 feel bad lar...
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
spam,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
ham,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember."
ham,Watching tv now. I got new job :)
ham,Oh really?? Did you make it on air? What's your talent?
ham,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...
ham,Yeah I don't see why not
ham,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
ham,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
ham,happened here while you were adventuring
ham,Ok i'm coming home now.
ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
ham,Fffff. Can you text kadeem or are you too far gone
